model_label,q,n_display,rel,leader_share,counts,chosen_role,n
gemma4_31B_dense,5,199,0.0,0.20100502512562815,"[40, 40, 40, 40, 39]",1,34
gemma4_31B_dense,5,199,0.0,0.20100502512562815,"[40, 40, 40, 40, 39]",3,25
gemma4_31B_dense,5,199,0.0,0.20100502512562815,"[40, 40, 40, 40, 39]",0,34
gemma4_31B_dense,5,199,0.03,0.22613065326633167,"[45, 39, 39, 38, 38]",1,28
gemma4_31B_dense,5,199,0.03,0.22613065326633167,"[45, 39, 39, 38, 38]",0,63
gemma4_31B_dense,5,199,0.03,0.22613065326633167,"[45, 39, 39, 38, 38]",2,13
gemma4_31B_dense,5,199,0.03,0.22613065326633167,"[45, 39, 39, 38, 38]",4,24
gemma4_31B_dense,5,199,0.03,0.22613065326633167,"[45, 39, 39, 38, 38]",3,22
gemma4_31B_dense,5,199,0.06,0.24623115577889448,"[49, 38, 38, 37, 37]",0,96
gemma4_31B_dense,5,199,0.06,0.24623115577889448,"[49, 38, 38, 37, 37]",1,15
gemma4_31B_dense,5,199,0.06,0.24623115577889448,"[49, 38, 38, 37, 37]",4,10
gemma4_31B_dense,5,199,0.06,0.24623115577889448,"[49, 38, 38, 37, 37]",2,17
gemma4_31B_dense,5,199,0.06,0.24623115577889448,"[49, 38, 38, 37, 37]",3,12
gemma4_31B_dense,5,199,0.1,0.2814070351758794,"[56, 36, 36, 36, 35]",0,143
gemma4_31B_dense,5,199,0.1,0.2814070351758794,"[56, 36, 36, 36, 35]",4,3
gemma4_31B_dense,5,199,0.1,0.2814070351758794,"[56, 36, 36, 36, 35]",3,2
gemma4_31B_dense,5,199,0.1,0.2814070351758794,"[56, 36, 36, 36, 35]",2,1
gemma4_31B_dense,5,199,0.1,0.2814070351758794,"[56, 36, 36, 36, 35]",1,1
gemma4_31B_dense,5,199,0.15,0.3165829145728643,"[63, 34, 34, 34, 34]",0,149
gemma4_31B_dense,5,199,0.15,0.3165829145728643,"[63, 34, 34, 34, 34]",1,1
gemma4_31B_dense,5,199,0.2,0.35678391959798994,"[71, 32, 32, 32, 32]",0,150
gemma4_31B_dense,5,199,0.25,0.3969849246231156,"[79, 30, 30, 30, 30]",0,150
gemma4_31B_dense,5,199,0.4,0.5125628140703518,"[102, 25, 24, 24, 24]",0,150
gemma4_31B_dense,5,199,0.6,0.6683417085427136,"[133, 17, 17, 16, 16]",0,150
gemma4_31B_dense,5,199,0.8,0.8241206030150754,"[164, 9, 9, 9, 8]",0,150
gemma4_31B_dense,5,199,1.0,0.9798994974874372,"[195, 1, 1, 1, 1]",0,150
gemma4_31B_dense,5,399,0.0,0.20050125313283207,"[80, 80, 80, 80, 79]",2,26
gemma4_31B_dense,5,399,0.0,0.20050125313283207,"[80, 80, 80, 80, 79]",3,30
gemma4_31B_dense,5,399,0.0,0.20050125313283207,"[80, 80, 80, 80, 79]",4,34
gemma4_31B_dense,5,399,0.0,0.20050125313283207,"[80, 80, 80, 80, 79]",0,33
gemma4_31B_dense,5,399,0.0,0.20050125313283207,"[80, 80, 80, 80, 79]",1,27
gemma4_31B_dense,5,399,0.03,0.22305764411027568,"[89, 78, 78, 77, 77]",2,21
gemma4_31B_dense,5,399,0.03,0.22305764411027568,"[89, 78, 78, 77, 77]",4,22
gemma4_31B_dense,5,399,0.03,0.22305764411027568,"[89, 78, 78, 77, 77]",3,24
gemma4_31B_dense,5,399,0.03,0.22305764411027568,"[89, 78, 78, 77, 77]",0,63
gemma4_31B_dense,5,399,0.03,0.22305764411027568,"[89, 78, 78, 77, 77]",1,20
gemma4_31B_dense,5,399,0.06,0.24812030075187969,"[99, 75, 75, 75, 75]",1,9
gemma4_31B_dense,5,399,0.06,0.24812030075187969,"[99, 75, 75, 75, 75]",0,110
